N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,1,IBM,11,100,B,3
N,2,IBM,10,100,S,103
N,1,IBM,10,100,B,4
N,2,IBM,11,100,S,104
F
N,1,AAPL,10,100,B,1
N,1,AAPL,12,100,S,2
N,2,AAPL,11,100,S,102
N,2,AAPL,10,100,S,103
N,1,AAPL,10,100,B,3
F
N,1,VAL,10,100,B,1
N,2,VAL,9,100,B,101
N,2,VAL,11,100,S,102
N,1,VAL,11,100,B,2
N,2,VAL,11,100,S,103
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,2,IBM,9,100,S,103
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,1,IBM,12,100,B,103
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,2,IBM,0,100,S,103
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,1,IBM,0,100,B,3
F
N,1,IBM,10,100,B,1
N,1,IBM,16,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,15,100,S,102
N,2,IBM,11,100,B,103
N,1,IBM,14,100,S,3
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,2,IBM,0,20,S,103
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,1,IBM,0,20,B,3
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,2,IBM,10,20,S,103
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,1,IBM,11,20,B,3
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
N,2,IBM,10,50,B,103
N,1,IBM,11,50,S,3
N,1,IBM,11,100,B,4
N,2,IBM,10,100,S,104
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
C,1,1
C,2,102
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
C,1,2
C,2,101
F
N,1,IBM,10,100,B,1
N,1,IBM,12,100,S,2
N,2,IBM,9,100,B,101
N,2,IBM,11,100,S,102
C,1,1
C,2,101
F
